c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23050,1807,169,-196,20,849,-711,-1130,-1528,-11,14,0,29,0,0,13585,923,155,159,13585,1518,1449,1687,1674,0,0,0,0,0,0,0,-25,4,33,12,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23103,1302,-155,751,-516,1232,-5411,-8211,2499,-26,-13,2,17,0,0,13585,918,125,159,13585,1516,1511,1619,1688,0,0,0,0,0,0,0,-3,18,-25,-28,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23150,1468,318,673,-319,1173,1851,-3999,-369,-72,27,2,11,0,0,13500,919,95,152,13500,1549,1429,1674,1668,0,0,0,0,0,0,0,-13,1,0,17,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23203,1519,673,-207,-4,906,1363,-1497,241,-83,34,0,9,-4,0,13500,928,40,152,13500,1540,1450,1680,1655,0,0,0,0,0,0,0,-33,1,51,16,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23250,1199,381,-166,-162,1358,20,455,-430,17,-46,2,24,-16,0,13500,932,66,152,13500,1502,1483,1677,1664,0,0,0,0,0,0,0,-15,19,3,-31,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23303,1539,217,94,185,936,1119,-4121,973,54,-96,2,37,-23,0,13543,944,-10,155,13543,1527,1483,1646,1682,0,0,0,0,0,0,0,-2,0,-35,19,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23350,1353,-356,135,255,632,2645,-5708,1828,154,-177,-2,54,-29,0,13500,926,-60,152,13500,1516,1501,1627,1689,0,0,0,0,0,0,0,6,-2,-63,28,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23403,1975,618,-335,171,969,11129,1981,180,127,-99,0,60,-30,0,13543,944,-21,155,13543,1535,1459,1663,1673,0,0,0,0,0,0,0,-31,-8,42,51,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23450,2093,689,-260,-46,1003,2950,-3023,1278,145,-96,-2,65,-31,0,13500,934,-41,152,13500,1497,1512,1626,1695,0,0,0,0,0,0,0,-24,1,26,31,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23503,1622,256,124,-199,951,3560,-1741,1217,252,-183,2,78,-41,0,13458,945,5,148,13458,1483,1531,1628,1693,0,0,0,0,0,0,0,-13,24,-4,-27,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23550,1804,-7,-132,69,919,12838,3202,668,240,-206,2,79,-41,0,13500,940,-22,152,13500,1530,1474,1652,1674,0,0,0,0,0,0,0,-9,13,-18,8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23603,2588,275,413,-152,976,11190,3019,2926,-26,-185,2,39,-41,0,13500,932,-118,152,13500,1575,1458,1628,1670,0,0,0,0,0,0,0,-8,1,-15,53,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23650,3271,1194,564,-65,1016,1912,13578,-308,-208,-115,2,15,-43,0,13970,922,-116,195,13970,1562,1451,1690,1665,0,0,0,0,0,0,0,-7,-6,-5,82,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23703,2560,1779,-181,16,754,-10416,9916,1889,-209,-96,4,2,-50,0,14712,923,-151,264,14712,1555,1513,1668,1672,0,0,0,0,0,0,0,-18,16,36,16,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23750,1967,2399,-109,105,1066,-5838,14188,1217,-154,-38,-2,3,-49,0,15067,898,-156,296,15067,1585,1509,1708,1676,0,0,0,0,0,0,0,-13,12,33,18,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23803,1439,2882,-112,-185,974,-3519,12296,-2505,-111,7,-2,2,-48,0,15067,909,-181,296,15067,1561,1480,1727,1698,0,0,0,0,0,0,0,-20,19,64,-3,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23850,1688,2985,-20,122,756,-5716,1127,1400,-133,9,-4,2,-50,0,15067,878,-104,296,15067,1566,1528,1677,1705,0,0,0,0,0,0,0,-18,-10,63,72,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23903,1304,3345,202,-279,1257,-10111,3385,-491,-96,47,-4,3,-48,0,15022,900,-57,291,15022,1552,1519,1707,1697,0,0,0,0,0,0,0,-18,4,66,23,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23950,1067,2523,689,-504,1004,-7486,-947,1400,-75,-27,0,3,-49,0,15067,875,-78,296,15067,1548,1553,1670,1710,0,0,0,0,0,0,0,32,23,-68,-28,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24003,1012,2373,-341,-75,1318,3988,8756,-613,-74,-37,-2,2,-48,0,15067,881,-80,296,15067,1595,1471,1725,1677,0,0,0,0,0,0,0,-3,12,32,-1,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24050,1825,3192,-255,153,716,6246,9977,1522,-141,97,0,3,-36,0,15112,886,-73,300,15112,1595,1505,1709,1669,0,0,0,0,0,0,0,-36,-21,127,95,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24103,1084,3001,35,-394,1176,-6632,-7661,-125,-77,115,0,3,-29,0,15112,865,-54,300,15112,1552,1531,1680,1718,0,0,0,0,0,0,0,0,31,28,-52,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24150,1228,2209,171,-195,1261,-3580,-3694,424,-89,53,0,3,-27,0,15112,887,-18,300,15112,1578,1510,1697,1696,0,0,0,0,0,0,0,14,11,-16,-4,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24203,727,1840,-235,-132,1089,-6754,-1863,-3,-46,76,-6,3,-16,0,15022,893,64,291,15022,1565,1511,1709,1690,0,0,0,0,0,0,0,1,23,13,-41,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24250,719,1569,-301,-48,1138,1729,2897,-979,-45,56,-2,3,-16,0,15067,898,134,296,15067,1568,1496,1709,1699,0,0,0,0,0,0,0,0,8,23,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24303,815,938,54,-249,1084,-9500,-6074,-64,40,12,-2,22,-13,0,15067,881,109,296,15067,1521,1556,1672,1725,0,0,0,0,0,0,0,21,12,-38,-13,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24350,584,1080,39,-280,1249,-1444,-154,-491,134,80,-2,37,-2,0,15067,876,74,296,15067,1553,1518,1717,1686,0,0,0,0,0,0,0,-5,19,32,-35,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24403,809,848,-242,-6,1127,8931,-4365,-1834,386,60,-2,91,-2,0,15067,896,101,296,15067,1537,1514,1704,1715,0,0,0,0,0,0,0,1,13,12,-13,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24450,1841,1435,-333,-71,1150,20894,1432,-2444,362,121,-2,104,0,0,15022,900,136,291,15022,1539,1504,1720,1708,0,0,0,0,0,0,0,-15,9,60,15,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24503,3223,1249,80,147,1256,14364,-6929,-1773,245,102,0,105,-1,0,15022,928,159,291,15022,1523,1526,1695,1722,0,0,0,0,0,0,0,-3,-4,27,72,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24550,2944,571,518,-525,1258,9298,-6074,-6045,203,46,-4,92,0,0,14978,908,141,287,14978,1517,1459,1734,1731,0,0,0,0,0,0,0,17,33,-36,-23,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24603,2697,207,-414,38,1002,4964,-6318,-1284,75,11,-4,62,-1,0,14978,930,167,287,14978,1557,1488,1709,1706,0,0,0,0,0,0,0,-3,40,14,-32,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24650,3197,278,-352,384,756,7222,3629,-5252,-97,17,-4,36,-1,0,15022,954,204,291,15022,1543,1442,1743,1721,0,0,0,0,0,0,0,-25,-7,72,100,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24703,2306,185,-251,-75,1029,-18228,-6868,-1651,-194,9,-4,1,-1,0,14978,946,212,287,14978,1509,1528,1704,1719,0,0,0,0,0,0,0,-12,21,35,16,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24750,1249,-173,178,-45,1229,-10843,333,-3421,-102,-22,-4,1,-1,0,14978,969,262,287,14978,1527,1479,1732,1713,0,0,0,0,0,0,0,4,28,-13,-14,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24803,680,-22,237,-77,899,-4068,5460,-4214,-87,-36,-2,-5,-6,0,14978,984,246,287,14978,1540,1453,1736,1720,0,0,0,0,0,0,0,1,18,-5,3,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24850,350,25,106,-100,921,-15726,-5159,-1651,-124,-29,-2,-18,-6,0,14933,993,277,284,14933,1517,1517,1696,1735,0,0,0,0,0,0,0,9,16,-27,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24903,-110,478,523,-196,1272,-9195,7474,-6961,-123,-136,-2,-26,-35,0,14491,1001,287,244,14491,1481,1434,1730,1739,0,0,0,0,0,0,0,12,23,-28,-28,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24950,-135,1220,277,-349,1342,-21585,9306,-308,-78,-193,0,-18,-60,0,13670,1000,222,168,13670,1488,1488,1683,1680,0,0,0,0,0,0,0,1,9,5,-4,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25003,-545,1567,-29,-80,1062,-6815,15226,-3,-74,-247,2,-24,-76,0,13670,1020,223,168,13670,1538,1439,1688,1671,0,0,0,0,0,0,0,7,2,3,1,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25050,-5,2795,-323,337,1100,-9134,20292,424,-121,-167,0,-24,-82,0,13585,1041,247,159,13585,1510,1470,1691,1660,0,0,0,0,0,0,0,-9,-16,68,50,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25103,-532,2862,24,89,983,-9927,13639,851,-79,-158,2,-25,-81,0,13543,1058,228,155,13543,1499,1488,1668,1676,0,0,0,0,0,0,0,11,-3,22,5,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25150,-847,2497,-116,-48,923,-14139,2836,2804,-27,-127,0,-20,-69,0,13585,1061,233,159,13585,1489,1526,1649,1672,0,0,0,0,0,0,0,22,-6,-3,1,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25203,-1147,2383,-5,78,1071,-8951,6986,1705,33,-74,0,-13,-56,0,13543,1077,268,155,13543,1499,1501,1666,1668,0,0,0,0,0,0,0,16,-12,19,10,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25250,-456,2603,-295,220,709,-772,1920,3109,53,3,4,2,-44,0,13543,1103,215,155,13543,1545,1479,1668,1645,0,0,0,0,0,0,0,-9,-42,90,87,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25303,-829,1530,189,-337,769,142,-4060,3475,86,-9,2,2,-28,0,13543,1079,224,155,13543,1526,1506,1646,1663,0,0,0,0,0,0,0,41,11,-51,-61,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25350,-316,1697,-472,51,769,5513,2470,2072,38,29,-2,2,-23,0,13543,1103,230,155,13543,1548,1458,1683,1643,0,0,0,0,0,0,0,-11,-21,87,28,133,25403,-441,700,254,-23,786,3438,-520,4025,48,-22,0,2,-16,0,13585,1123,222,159,13585,25450,197,603,-13,296,826,-1444,-154,3720,-10,-31,2,1,-16,0,13585,1124,150,159,1358525503,909,1317,-95,-119,955,1973,9672,2377,-72,45,2,1,-13,0,13543,1123,120,155,13543,1551,1471,1690,1623,0,0,0,0,0,0,0,-3,-27,67,49,132
25550,957,1119,-83,18,1023,-5289,-764,2865,-83,59,2,0,-7,0,13585,1111,91,159,13585,1535,1499,1650,1657,0,0,0,0,0,0,0,24,-22,-6,34,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25603,700,1001,-106,40,1092,-2908,-3999,3720,-57,49,0,0,-7,0,13585,1135,95,159,13585,1541,1508,1649,1649,0,0,0,0,0,0,0,22,-6,-4,-10,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25650,875,1385,-289,62,1208,3194,2286,2499,21,86,0,19,-6,0,13543,1134,79,155,13543,1554,1475,1682,1625,0,0,0,0,0,0,0,-6,-22,73,30,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25703,1394,1128,-77,210,462,4659,3202,851,199,-48,2,64,-29,0,13628,1139,8,163,13628,1509,1501,1664,1661,0,0,0,0,0,0,0,12,-36,22,72,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25750,1672,1012,155,-186,974,17904,7841,-369,203,-86,2,69,-34,0,13585,1145,39,159,13585,1548,1440,1681,1658,0,0,0,0,0,0,0,21,-12,1,15,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25803,2555,1283,-275,123,1047,11922,2653,2987,126,-62,2,69,-34,0,13585,1147,45,159,13585,1539,1507,1645,1656,0,0,0,0,0,0,0,17,-21,13,52,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25850,2487,807,169,-175,1153,11495,5460,2133,58,-69,0,55,-27,0,13585,1150,20,159,13585,1549,1481,1671,1640,0,0,0,0,0,0,0,31,1,-22,0,1325903,2911,1228,109,-95,868,7467,5521,-1773,-55,72,0,39,-6,0,13543,1150,-25,155,13543,1529,1439,1700,1654,0,0,0,0,0,0,0,24,-11,-2,38,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25950,2664,904,62,-21,777,-772,-9920,241,-75,71,2,31,-1,0,13585,1150,-29,159,13585,1534,1468,1650,1680,0,0,0,0,0,0,0,17,-19,11,59,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26003,1466,-155,186,-85,928,1851,-6807,57,29,-17,0,31,0,0,13585,1148,-20,159,13585,1525,1476,1668,1667,0,0,0,0,0,0,0,34,13,-46,-33,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26050,1311,-112,267,30,816,1668,28,1522,7,-16,0,24,-1,0,13585,1139,-40,159,13585,1530,1493,1669,1650,0,0,0,0,0,0,0,10,-9,14,27,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26103,1179,-98,158,36,950,2767,578,-308,19,-8,0,24,0,0,13543,1150,-29,155,13543,1513,1480,1668,1671,0,0,0,0,0,0,0,30,-1,-41,8,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26150,751,-188,187,-255,1250,2523,-5464,-247,56,-19,2,24,0,0,13713,1144,-32,172,13713,1529,1477,1672,1674,0,0,0,0,0,0,0,12,9,0,-22,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26203,1013,-403,-63,201,780,5635,150,-2810,37,-38,-4,25,0,0,13756,1131,-57,175,13756,1517,1442,1700,1680,0,0,0,0,0,0,0,4,-16,19,48,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26250,924,-27,210,-324,1097,8748,2409,-1528,41,-5,-2,24,0,0,14056,1150,-18,204,14056,1544,1451,1699,1678,0,0,0,0,0,0,0,4,4,16,-4,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26303,904,42,-196,-19,879,2401,-11751,-430,273,-69,-2,70,-14,0,14889,1138,-32,280,14889,1504,1527,1656,1720,0,0,0,0,0,0,0,-9,-1,48,12,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350,1197,190,-161,155,895,16988,-1924,-1834,272,-53,-4,75,-13,0,14889,1144,-29,280,14889,1558,1478,1714,1704,0,0,0,0,0,0,0,-5,0,33,17,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26403,2132,650,50,-161,1332,24923,6132,-2444,194,-19,-4,76,-15,0,14844,1138,-45,276,14844,1563,1455,1723,1699,0,0,0,0,0,0,0,-1,10,25,10,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26450,3127,844,212,68,1252,11922,700,-2200,41,-10,0,62,-16,0,14889,1136,-25,280,14889,1541,1488,1709,1711,0,0,0,0,0,0,0,1,-3,16,61,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26503,2897,828,236,-153,1376,-1749,-3511,-2871,-4,23,2,49,-9,0,14889,1139,28,280,14889,1501,1519,1696,1732,0,0,0,0,0,0,0,9,16,-5,10,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26550,2603,935,20,-215,1614,-9989,-9920,-125,-52,46,0,34,-6,0,14889,1133,55,280,14889,1528,1532,1684,1717,0,0,0,0,0,0,0,-6,10,34,23,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26603,1991,772,-204,139,805,-1383,-2778,-2200,-58,53,2,23,-2,0,14889,1141,50,280,14889,1539,1487,1712,1712,0,0,0,0,0,0,0,-3,12,26,15,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26650,1867,1126,-526,92,1157,-1138,1859,-4336,-86,84,-2,15,-2,0,14889,1133,63,280,14889,1520,1466,1741,1710,0,0,0,0,0,0,0,-28,2,92,41,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26703,1159,412,-91,-31,863,-15421,-9920,-918,-27,25,4,14,-2,0,14978,1134,64,287,14978,1514,1529,1690,1722,0,0,0,0,0,0,0,-2,4,15,27,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26750,1018,743,-273,357,916,1241,2714,-4519,-26,54,0,12,-2,0,14933,1148,65,284,14933,1551,1428,1745,1710,0,0,0,0,0,0,0,-17,-3,56,44,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26803,644,1078,-81,-85,1171,-6265,-337,-2139,6,87,2,12,-1,0,14933,1152,102,284,14933,1512,1510,1715,1715,0,0,0,0,0,0,0,-6,14,30,-8,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26850,-304,476,627,-306,1165,-10660,-1985,-1284,85,34,2,11,-1,0,14013,1159,143,199,14013,1487,1496,1694,1691,0,0,0,0,0,0,0,23,30,-56,-61,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26903,-295,933,-223,180,1001,5025,9916,-2871,85,39,2,11,-8,0,13628,1173,162,163,13628,1538,1389,1732,1655,0,0,0,0,0,0,0,-9,-3,32,23,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26950,-147,972,86,-18,1011,1729,6803,-3,72,8,0,11,-15,0,13670,1170,138,168,13670,1508,1471,1692,1667,0,0,0,0,0,0,0,-5,2,25,7,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27003,323,820,-158,87,1204,-1077,11259,-2688,62,-57,0,18,-25,0,13543,1193,196,155,13543,1491,1437,1719,1666,0,0,0,0,0,0,0,-13,-26,46,78,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27050,-529,177,258,126,717,-4617,1005,-2261,224,-221,0,35,-47,0,13543,1192,176,155,13543,1445,1489,1658,1722,0,0,0,0,0,0,0,26,0,-60,0,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27103,-754,556,-188,-50,1256,2645,4118,-247,320,-248,-2,50,-59,0,13585,1220,238,159,13585,1459,1507,1674,1687,0,0,0,0,0,0,0,-4,14,26,-38,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27150,-369,740,84,-291,844,11251,8634,180,307,-232,-2,55,-59,0,13458,1222,211,148,13458,1481,1486,1667,1684,0,0,0,0,0,0,0,1,17,16,-36,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27203,480,594,80,70,624,14852,3751,973,293,-248,0,67,-60,0,13500,1233,158,152,13500,1499,1484,1648,1694,0,0,0,0,0,0,0,29,9,-47,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27250,1575,1469,-123,61,897,14913,7291,1278,201,-130,-4,67,-51,0,13543,1246,128,155,13543,1502,1483,1681,1661,0,0,0,0,0,0,0,0,3,37,32,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
